industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Utilities,0.08759155336793824,-0.1789386686564278,0.15643572846933515,0.03642889190048021,6843000,4103200,6319600,6319600,-0.58,8.01,1.14,13.09,-950.23,-27.52,0.023991057095944488,237.111,0.38,4.9,10.11,98.97435897435899,10.170833333333333,0
Industrials,0.04377529155358274,-0.004283148773679068,0.020570821538081253,-0.018425026802533568,3492100,7028800,5481600,7446700,51.32,1.36,1.98,-3.62,7.67,12.5,0.029413697333604855,278.802,0.08,3.9,41.1,85.6759176365264,40.97375,1
Consumer Discretionary,0.15435365216548627,-0.01949565408688753,0.06600814244393789,-0.17159977618480984,1032800,780900,783400,751500,16.24,2.35,1.9,9.56,-30.55,-20.1,0.04116768856748834,256.389,0.05,14.7,1389.6900000000003,98.06613721003278,1383.6458333333335,1
Consumer Discretionary,0.02023077028889846,-0.015228959825518452,0.009370234863704205,0.012364339287120975,1067500,824200,2703900,1015500,29.77,1.72,0.36,2.23,21.98,22.04,0.01245791949401023,246.524,1.42,4.1,96.08666666666664,100.0,95.99166666666666,0
Consumer Discretionary,-0.05125357340841707,0.013692239969501219,0.02904852617246268,-0.03537510124657744,1816400,1250900,2945800,6287600,33.71,0.94,0.52,2.77,6.12,10.86,0.01707892666171218,237.111,0.29,4.9,104.17000000000002,31.2835067801955,103.73666666666666,1
Energy,-0.03962153219508776,0.026715190441478,0.06878645993787452,-0.01784575556249524,896500,1450400,1524000,720300,162.83,0.01,0.3,-1447.08,22.8,-464.52,0.02183343754529102,245.519,1.16,4.4,16.526666666666667,13.125000000000014,16.4825,0
Consumer Discretionary,0.0453518624615096,0.03197797808883263,0.03032956663591998,-0.01915450471016262,1152500,665400,948000,840000,23.13,0.16,1.86,1.95,6.66,4.41,0.022797853847141846,264.877,0.07,6.1,101.65333333333332,78.59824780976211,101.40333333333334,1
Consumer Discretionary,-0.049925489752975616,0.06486809100697792,0.05903364418842874,-0.012038228048586796,4742400,5217100,4994100,5593800,2.11,1.47,0.45,11.83,6.26,18.21,0.04574706773309951,241.428,0.4,5.0,51.96333333333333,20.427881297446493,51.75333333333333,1
Technology,-0.06097564757780296,0.046808569352518016,-0.21666669845581055,-0.14529914297690524,344000,298100,530700,578200,-7.21,0.41,1.02,-4.34,-24.05,8.08,0.05281664732273272,236.916,0.38,4.8,2.3033333333333332,34.54545454545461,2.3095833333333333,1
Technology,-0.030336825667271913,0.06070543704344368,0.003957470938149355,-0.04133384380496725,420000,538700,297400,255800,129.63,0.04,0.1,0.25,21.59,8.09,0.02892338040926124,274.31,0.06,4.8,493.05333333333334,36.844561096529596,496.5829166666667,1
Industrials,-0.0387039907889692,0.02163829196447011,-0.003976935408435312,0.013390474963200978,1537900,882400,882400,1076800,27.03,0.51,0.46,-28.49,51.62,48.82,0.018371768498598794,300.84,4.58,3.6,76.86333333333334,0.0,76.915,1
Telecommunications,0.030178658987416104,0.10482785581564258,0.019858634120393136,0.06150728234828482,7120900,7654200,9692000,10409000,12.12,1.47,1.5,6.41,9.39,15.28,0.02233339770775382,263.014,0.08,6.2,41.529999999999994,72.54374158815612,41.864583333333336,1
Utilities,-0.024972741957124338,0.020796083894567708,0.008342673111221135,-0.017718761328979055,2666200,4572900,4108700,2009300,42.36,0.9,0.52,3.7,4.4,5.21,0.013979938455391595,244.524,0.91,4.4,44.49333333333333,13.815789473684239,44.649166666666666,1
Technology,0.0014244598881913407,0.026541578695505504,0.03223874891924336,-0.04391981121081023,1771200,2815200,1872600,4314300,-78.37,3.52,1.23,-0.21,-13.51,23.36,0.023874536610631873,271.696,0.1,5.9,122.93208888888888,67.66452551205927,123.50625555555555,1
Real Estate,0.010936512945330407,0.016020570614476305,0.035312844923897545,-0.04752223388255094,1621000,2452300,1562000,1281200,26.57,1.93,,,31.52,48.03,0.022338435458858757,244.786,1.07,4.3,77.97333333333334,65.90399282189323,78.72666666666667,0
Real Estate,-0.019104456878058628,-0.012090888321707361,-0.044519478594399406,0.06640623310152548,1303000,1329000,1791700,1791700,42.48,0.7,,,22.98,-23.54,0.014436236139623417,300.84,4.58,3.6,32.85333333333333,2.9411764705876817,32.94416666666667,0
Technology,0.009803896513746966,0.03728814852439751,-0.016666666666666666,-0.02216428612815443,176300,30200,82800,265400,8.57,0.05,0.76,-2.99,1.96,4.0,0.03314244602913729,252.776,2.4,3.8,15.399999999999999,61.670761670761564,15.439583333333333,1
Technology,0.021342005882960504,0.07336425710172587,0.04164051335912668,-0.017468655949374693,2035000,1782900,1885200,2551900,21.67,-1.4,0.69,3.88,9.69,6.43,0.0189818352216942,297.711,3.83,3.6,71.21333333333332,76.48236177132847,71.84875,1
Health Care,0.05766442646771625,-0.021104597380806372,0.0026460805191121342,-0.02980174329795122,3329500,6191700,2870800,2787400,10.61,1.1,0.82,9.49,12.15,10.0,0.014612614729789343,305.109,5.08,3.6,96.70666666666666,78.6156111929308,98.69416666666666,0
Finance,0.02805185106135612,0.04811102522734908,-0.012029797389140475,0.05016337686416692,1298700,1549300,2345800,2029300,8.67,0.69,,,33.1,45.98,0.019757818912874616,264.877,0.07,6.1,178.70666666666662,71.95836044242029,179.19791666666669,0
Health Care,0.0035257131178426724,0.012969842824379834,0.029212770742053102,-0.0835105904818357,11325100,7356700,7356700,7276700,31.55,-15.86,0.49,9.03,33.25,51.43,0.016419091327711896,296.311,0.83,3.6,54.19999999999999,58.93719806763259,54.130833333333335,1
Finance,0.01711860432528751,0.006777514489607663,0.01017240078601667,-0.0037031657846602487,1224900,1872300,1262800,1048300,12.27,0.24,,,15.59,22.51,0.031413316766647326,237.805,0.12,5.6,52.74,72.46963562753038,52.69166666666667,0
Real Estate,0.022561965958415416,0.022811986957963763,0.008290998584327636,-0.0061137690832124185,685500,889500,889500,619700,24.85,2.78,,,32.19,49.01,0.011374364502694962,256.759,2.13,3.5,37.6788221384593,100.0,37.646858121304426,0
Technology,0.008190351760752928,-0.0018749831019776516,0.0022927900491965555,-0.014811853664117932,36662000,25884000,21436000,32654000,26.44,0.05,5.22,-0.63,20.37,21.99,0.020207689841427713,238.638,0.13,5.3,26.71133333333334,71.76088720584278,26.74191666666667,1
Finance,0.0023169388601361994,0.022301059148911364,-0.027183779264297818,0.022014331617826254,2178900,1419200,3265200,1912200,13.73,0.25,,,9.3,30.5,0.03158616344673629,236.119,0.12,5.4,51.48,62.28748068006193,51.67666666666666,0
Consumer Discretionary,-0.0004761710999503968,-0.00630917218062892,-0.03441976865948083,-0.03667840178520659,235700,209600,209600,91900,19.35,0.66,0.78,3.78,8.55,17.15,0.02396549813362497,259.101,0.09,10.2,63.56333333333333,39.31297709923661,63.32416666666666,1
Finance,0.07537728372067258,-0.0020059763526575985,-0.0459329134071371,0.06118308438857862,7357000,8618100,4572800,4002600,13.91,1.69,,,23.77,5.52,0.02958691086646855,256.143,2.37,3.6,42.40666666666666,100.0,42.294583333333335,1
Industrials,0.048019313363520666,0.045146369252503864,0.1068308097531973,0.051413829068424066,1057500,1037600,1961500,2252300,28.02,0.7,3.25,1.87,21.62,-16.46,0.017819466010871376,259.101,0.09,10.2,292.2566666666667,85.94890510948898,292.67625,0
Energy,0.028654048960283427,-0.11630664804420254,0.08485522526207885,-0.020419316592736048,980900,1247000,1059600,1388400,,,,,-63.35,35.64,0.019906308658051725,273.567,0.09,5.2,52.94666666666668,81.29175946547879,52.937083333333334,1
Technology,-0.007509379787021483,-0.0502229528907015,0.08688638633569484,0.07388134465498788,3320100,2329700,2801700,3897900,-60.83,,,,-15.38,-7.68,0.047670187420286066,243.603,0.57,4.6,32.20666666666667,34.69387755102036,32.04375,1
Technology,0.027557683517632384,-0.060928505830424765,-0.01332803081429247,0.011829523975286775,2166400,4044700,2476100,1688000,61.02,0.48,1.11,2.44,5.52,7.53,0.02941096476089555,300.84,4.57,3.6,413.2033333333333,50.56360708534624,409.82624999999996,0
Utilities,0.006310830754191024,0.0017355086521466142,0.0019871351875733055,0.006375035385778151,1288300,1828000,2454100,1631300,23.06,2.26,0.2,-0.38,20.92,-3.93,0.01294213671455231,246.669,1.16,4.2,81.83666666666667,45.26198439241902,81.65791666666667,0
Basic Materials,0.03610450501475741,-0.021679138362816288,0.017513448682290735,-0.01785721822440754,1229700,853200,1056400,966600,17.7,0.88,3.04,5.8,32.0,28.05,0.025924067127405543,300.84,4.58,3.6,75.44666666666667,80.70953436807108,75.50791666666666,0
Health Care,0.01056717306925183,0.05044524530760989,0.0019822185689606043,0.006316544251642527,5151000,5593300,5332200,6545400,37.89,0.5,1.83,2.84,14.56,19.11,0.020333921927753167,252.146,1.92,3.8,95.93333333333332,93.3070866141732,96.115,1
Real Estate,0.027185717351947098,-0.041883681871373396,0.022369207744225218,-0.005087063409644081,773900,727200,581100,544600,35.98,1.18,,,16.58,3.22,0.01796837496404526,241.428,0.4,5.0,93.78333333333335,91.78885630498543,93.94458333333333,1
Consumer Discretionary,0.03832122830210373,-0.03419101609944737,0.039956155533319125,-0.006896548733794751,11700,9300,9300,11800,,,,,,,0.02547893824587407,256.759,2.13,3.5,27.92046666666667,100.0,28.02368333333333,1
Technology,0.016195272610262355,-0.009210047448541848,0.016308107823586274,0.024214314364644007,310400,315500,571600,268100,33.99,,,,18.51,30.08,0.03300908538237035,246.663,1.16,4.2,106.07333333333334,71.83098591549312,105.92500000000001,1
Utilities,-0.050130045162819034,-0.03659760652427091,-0.04789180176569021,-0.04497775218198043,1555100,2346400,3292600,2270400,24.01,-2232.64,2.03,-1.47,31.23,9.05,0.06620724935150654,258.678,1.58,3.5,54.97,15.52083333333334,55.087083333333325,1
Industrials,-0.02464231892877629,0.06459801273082347,-0.04189187262168042,-0.005643640931399892,619760,856212,808007,764174,,,,,,,0.020160408788354543,252.439,1.93,3.7,34.87193333333333,24.53241456897782,35.010041666666666,1
Health Care,0.12213612917870274,0.029105705943534045,0.0009765848735701636,0.047570281811484885,923500,434800,788200,681800,-24.0,0.02,11.96,-12.06,-375.03,-326.37,0.03907531887402202,249.554,1.42,4.0,133.9333333333333,90.88545230600793,135.69333333333333,1
Energy,0.03083508253847971,0.011808070340445544,-0.05555557788555306,-0.034666633349880495,3408600,4389600,3344000,2776300,3.79,0.61,1.11,0.12,5.59,2.34,0.02168392591015843,304.127,5.08,3.7,94.32000000000001,77.61426978818278,95.02541666666667,0
Finance,0.0005889577308732661,0.007316789265896403,0.011400147682726774,0.012965925268727118,1733100,1411300,898700,1753600,9.77,0.3,,,12.65,5.24,0.033530013541587154,255.548,2.44,3.6,51.10666666666666,43.47826086956522,51.04,1
Technology,-0.00525879813818507,0.03269813572462099,-0.0006366214134058974,-0.0019800331326487743,200900,227900,256100,342800,27.18,1.22,2.44,1.67,25.63,18.82,0.022114147395019372,257.971,1.55,3.5,276.97999999999996,32.151529868868266,275.95416666666665,1
Energy,-0.044897893572357295,-0.04248588384618456,0.006598849235061661,-0.0003807763241545864,4825604,4224582,3012521,3012521,-26.58,0.25,1.31,5.93,5.01,-20.26,0.019462857658190637,238.654,0.13,5.2,73.51493333333335,6.198906561663673,73.58656666666667,1
Health Care,-0.022110472929889997,-0.024236956486695195,0.11350007438125248,-0.02866458477632616,1897000,4486400,2924900,2729600,20.08,1.16,4.76,1.67,30.78,62.89,0.02571187984504425,238.316,0.14,5.1,168.97333333333333,19.065247570569163,168.64375,1
Consumer Discretionary,-0.01280932316857031,0.004799307509926122,0.01776197074778397,0.0148715180149654,1147594,1015168,1432686,1654745,-24.53,0.35,3.12,-135.09,-6.2,-3.78,0.037380052665853626,236.119,0.06,5.4,15.900433333333332,36.61810533734157,15.860675,1
Health Care,0.0594956635663279,-0.01957252673853157,0.0023231720904342765,0.02364911493561669,9061800,5747700,5325400,4025300,17.53,1.19,0.78,3.96,15.84,33.32,0.030109886125682373,307.026,5.33,3.8,78.29333333333334,93.78343949044586,78.92541666666668,0
Energy,0.043040646947230345,-0.045760665114616884,0.04623928833458686,0.03937461469491457,13328500,17231400,7003900,7375800,-0.98,1.96,1.02,-3.85,-143.74,-26.62,0.027542799244267398,241.018,0.38,4.9,36.03333333333333,83.0008673026886,36.439166666666665,1
