industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Consumer Discretionary,0.02548120078889159,0.01581829450618265,-0.006632294382815536,0.005664244485020861,572000,450600,433600,470300,35.62,0.69,1.04,1.61,15.15,19.55,0.019075472130329552,305.691,5.08,3.5,504.95666666666665,100.0,504.7925,1
Technology,-0.010262632370134285,0.008621425583487108,-0.014126759152486519,0.01902020282777587,27308000,30514000,62974000,31068000,28.09,0.05,4.49,-1.25,21.31,20.2,0.02032643537452291,236.525,0.36,5.0,37.46800000000001,39.96643490769568,37.48720833333333,0
Health Care,-0.02602638394625527,-0.02329026601317949,-0.07645928764653429,0.06986002445120053,757100,705700,791500,753800,-17.97,5.63,3.43,-2.65,-123.39,-61.77,0.03763795944065246,296.808,2.33,3.5,207.79000000000005,29.957805907173,207.61874999999998,1
Finance,0.040246348734041225,-0.005310648385807739,-0.0026478749621235303,0.03130256448654389,145900,278300,276800,273400,14.85,0.23,,,6.01,15.3,0.023188087803348984,246.663,1.16,4.2,50.52666666666667,98.97843359818337,50.4525,1
Consumer Discretionary,0.03842243834587583,0.022505446642818835,-0.01176307196884893,-0.033988285915247864,2510800,1651400,2324400,2844200,5.04,0.18,,,16.42,5.19,0.028500872437579938,297.711,3.08,3.6,81.45333333333332,73.2712765957447,81.10875,0
Technology,-0.05243390168588441,0.01760372457718703,0.006316933347987247,-0.0027389339555821267,729000,1286200,474100,695400,58.77,,,,21.86,-0.25,0.0257943097753927,250.546,1.7,4.0,70.05333333333333,33.736396614268386,70.60625,1
Real Estate,-0.013911078848561766,-0.10058128970009998,-0.12457060513565765,-0.03296404187823427,623700,632200,597000,783300,37.82,0.77,,,47.68,49.31,0.017467961067223283,292.296,0.83,3.6,311.0433333333333,40.2540516863776,310.8275,1
Finance,0.00473488454199629,8.936049437823121e-05,-0.006126944064097616,-0.005913774681336384,972400,1059000,838500,647200,67.61,-2.75,1.28,4.85,-45.49,36.07,0.021224703698897982,243.801,0.91,4.4,111.92333333333333,67.0250896057347,112.13041666666666,0
Consumer Discretionary,-0.013564417988057886,-0.01147208491695501,-0.06583150193623634,-0.0062241658154669754,1299600,1116200,1275200,749500,40.02,0.12,1.16,5.17,16.34,13.2,0.02068127521321858,307.789,5.33,3.8,65.12999999999998,43.79562043795639,65.31916666666666,1
Finance,-0.0025180645728835327,-0.015697696202185415,0.026829303557397384,0.02600369941944214,1440800,1661300,1999400,1844400,24.34,0.92,,,3.79,9.07,0.02734587166677439,307.026,5.33,3.8,96.83666666666666,32.12435233160614,96.15416666666667,0
Finance,0.012820515289613763,0.04316076834396609,-0.026586384106264183,-0.03144130841483798,1477300,1358800,970600,1125700,11.06,0.54,,,15.42,-25.58,0.0226839531819249,255.548,2.41,3.6,68.98333333333333,76.73048600883632,69.16208333333333,1
Technology,0.06262109737023086,0.0024284979514911827,0.0007286512587912075,0.007339784849731644,3797200,3430100,2346000,1745100,25.03,,,,24.23,36.75,0.04382553003993711,234.722,0.11,5.5,87.305,86.89320388349509,87.07354166666667,1
Finance,0.06720803207900442,-0.01741638989965214,-0.013776975470505997,-0.028676145510537807,1632500,538500,573000,685600,15.29,0.13,,,12.35,25.1,0.016394162808503907,237.111,0.38,4.9,57.04666666666668,98.00498753117203,57.10041666666667,0
Industrials,-0.006773927020565691,-0.027182957450886943,-0.03472019688687404,0.09807919697848203,2182000,2254100,666800,740100,16.38,0.93,2.61,3.19,20.11,14.07,0.035517879506749755,254.202,2.4,3.8,35.23,22.274881516588223,35.221666666666664,0
Consumer Discretionary,0.016904965521113056,0.017388538965660123,0.011259609678364856,-0.018343437361276253,381300,247100,425500,224100,14.1,0.3,3.67,2.03,18.72,17.31,0.018799498399471298,283.716,0.08,3.8,215.0966666666667,71.90522243713737,216.04541666666668,0
Health Care,0.02363856386851079,-0.04581952337547189,-0.0972281711073049,0.08126804670614193,992800,893800,1433700,1035400,-71.14,0.29,1.64,-2.5,-35.08,-91.52,0.03527818168902988,240.229,0.37,4.8,81.57333333333334,59.90426259402779,82.08625,1
Utilities,-0.005267386450904694,-0.007639645821439045,0.0109757788857574,-0.024196448704493966,13200,21000,6400,5400,,,,,,,0.006119014992451002,241.432,0.41,4.7,24.51666666666667,57.575757575757635,24.596666666666668,1
Utilities,-0.014843623455818734,-0.015877907829072453,-0.014705801330950357,0.003453644691239165,7314300,5763700,5709500,5280300,-23.17,1.98,0.31,3.69,9.7,11.64,0.015710947673230117,241.432,0.41,4.7,30.320000000000004,49.35822637106195,30.412083333333335,1
Technology,0.013516850391753422,0.1946176414852416,-0.036834984715218184,-0.03654038803546257,3539700,3877400,4817200,4487000,29.45,0.57,0.86,-9.1,13.25,11.34,0.02616026312505425,283.716,0.08,3.8,42.376666666666665,76.59574468085098,42.507083333333334,1
Basic Materials,-0.01730344268282723,-0.03613623486750735,0.05964653935881627,0.0007367503151533399,20127400,14328200,15925600,16080600,6.39,1.12,1.46,0.42,11.33,15.81,0.03182020998018905,252.885,2.18,3.8,13.82333333333333,25.984251968503997,13.7675,0
Finance,-0.038076339240298164,0.002738998258234899,-0.008721360977219905,0.01156890578162248,477600,578900,580000,438500,15.85,0.53,,,15.99,27.49,0.019202621261602,301.836,4.57,3.5,118.20999999999998,1.7756732761172553,117.79583333333332,0
Technology,0.004094135841413123,-0.020973307271939887,0.047147782971694745,0.11119457530219326,1428100,3343500,3480500,2269500,16.25,1.29,1.54,-0.67,17.31,21.42,0.032607208045466754,256.558,2.12,3.7,135.7033333333333,56.56609319616154,135.67458333333332,0
Finance,0.015074131126047562,-0.029021270964142185,-0.008121016473077306,-9.213611436059826e-05,40200,40700,28600,40600,10.39,0.27,,,1.26,26.07,0.01823619020901894,307.671,5.33,3.9,1478.7133333333331,86.62515853799165,1480.4729166666666,1
Consumer Discretionary,-0.08089255324171334,-0.0062371960199480575,-0.01769904011777937,-0.0033922552869149157,13982100,9629800,19781200,8459700,-15.01,2.69,0.68,10.1,-13.69,6.46,0.017741584777074722,248.991,1.42,4.1,40.99,0.33003300330038104,40.662499999999994,1
Consumer Staples,0.017680854099289607,-0.011338604760587772,0.0238632624742879,0.016221463177967622,948383,1167347,1316660,1316660,17.28,2.34,0.42,4.47,8.48,9.69,0.01557759950962517,278.802,0.08,3.9,59.771633333333334,92.85684076971873,59.74816666666666,1
Technology,-0.0041464241550505845,0.061466126715340096,-0.0006067179636309437,-0.07009874631510475,436500,1619900,4451700,1580000,42.71,0.23,1.5,0.35,17.51,20.97,0.03024191921966246,256.974,1.55,3.6,69.96000000000001,31.61512027491416,69.83583333333334,1
Consumer Discretionary,0.0250661565577637,-0.04009963423954694,0.06692062075954074,-0.010231663120937323,6000,9400,4400,4400,,,,,,,0.026158674451005306,245.519,1.16,4.4,19.12,100.0,19.114583333333332,0
Consumer Discretionary,-0.015892300807132005,0.050217958420890184,0.020325773992860976,-0.012915167577572417,3776500,3020000,3020000,3083000,43.49,1.11,1.15,2.92,42.81,37.22,0.02157641749019592,252.439,1.92,3.7,214.51333333333335,24.592833876221434,213.44583333333333,1
Utilities,0.060422843111249465,0.0924093249361208,0.32603951822658744,-0.41676302029485623,14147600,17123100,48150800,26197700,12.13,-39.67,0.65,10.44,8.9,-44.27,0.025306947196614506,238.132,0.36,5.0,6.9433333333333325,70.63492063492062,6.969166666666666,1
Real Estate,-0.013656559511492078,0.05886877198364042,-0.012755469499190725,0.019462603314487174,1863800,894000,1324900,1164900,35.33,0.59,,,12.22,10.71,0.018779537661951038,307.026,5.33,3.8,124.75,28.262295081967213,123.96791666666667,1
Industrials,-0.03055461159407626,0.034862921502860376,0.006199937007541267,-0.037228999768662896,1416900,1850600,3155200,2000700,17.49,0.67,0.71,1.49,4.31,18.2,0.02524861756753976,258.678,1.58,3.5,64.84333333333333,35.70767807585565,63.67833333333334,0
Consumer Discretionary,0.003513283073374956,-0.01512595004965717,-0.0005928972935079568,0.004067464085339696,14229500,10181100,9980100,10450800,12.62,0.55,0.7,4.71,20.19,23.8,0.019870462607407675,251.588,1.7,3.8,101.41333333333334,38.31101956745617,100.72291666666666,1
Consumer Discretionary,0.04782083417401678,-0.04082597732522886,0.03362486919423492,0.07519865780228066,3077400,3133500,2253400,2821200,14.67,0.31,0.63,5.95,2.34,3.42,0.0332550316960749,245.519,1.16,4.4,60.56999999999999,83.750846310088,60.932500000000005,1
Finance,-0.013673947210019764,0.004503450381350861,-0.03182892675007106,-0.001088863932144081,6299600,8027300,4406600,4106500,10.19,0.3,,,33.81,30.63,0.024282357215942702,273.003,0.1,5.4,42.623333333333335,59.74911371693482,43.33833333333334,0
Industrials,0.044846918026282025,0.02158593611204224,0.021372385635871304,-0.026286807553740507,293900,293900,1496900,6009100,22.06,1.67,1.07,8.56,6.26,36.13,0.028974747097938833,256.974,1.55,3.6,48.050000000000004,84.41176470588233,48.082499999999996,0
Energy,-0.030249316352678517,0.014745624183327222,-0.010486649195971658,0.032721760428781374,2179120,2859208,3074639,4310356,-72.06,0.67,0.33,1.94,-13.96,-7.02,0.026002093546102726,241.432,0.66,4.7,32.940000000000005,18.53448275862072,32.92125,0
