industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Technology,0.12578342857083216,-0.016292414638690356,-0.008080336179018956,0.013052838832528493,30757300,15299600,12787700,15930900,19.76,1.08,2.95,1.14,30.56,35.97,0.030972300068343183,244.955,1.16,4.3,47.48999999999999,100.0,48.108333333333334,1
Technology,0.0163797131717377,0.019385889355861368,0.0043345727778941094,-0.010476711369329624,3909600,4698600,3057900,3773400,-40.43,0.92,1.95,-10.91,-19.75,32.48,0.02594583930205005,236.119,0.12,5.4,47.389944444444446,73.91597216748234,47.88216388888889,1
Technology,-0.07298153667869019,-0.00739519283679786,-0.03929243202128841,0.1000000060840466,1377400,1324800,1881500,1505400,,,,,0.35,44.82,0.04329186841947035,278.802,0.08,3.9,60.77333333333333,24.08803135363275,61.22541666666667,0
Telecommunications,0.005417162809758608,-0.08985413078432992,-0.05514179866772947,0.030064606532539017,1560900,1636800,1146800,1241700,7.49,1.83,0.17,11.63,1.58,-0.46,0.017187236835590293,251.588,1.7,3.8,271.3233333333333,60.37691401648989,272.2208333333333,0
Consumer Staples,-0.005034594032871168,0.008888919544612019,-0.041387850477682515,-0.0030339990916220623,4556100,6221300,7719200,7621800,20.78,0.72,0.4,3.88,11.01,12.42,0.013541926621105385,296.311,0.83,3.6,62.699999999999996,60.585065434949925,62.93,0
Consumer Discretionary,-0.0010554200402463538,0.06019139426254985,0.0029926132210311564,0.020167699089476097,190200,154300,127300,168200,19.22,-2.76,0.08,4.2,12.4,16.46,0.019682192008255536,238.316,0.15,5.1,744.8733333333333,32.83751418126792,742.5991666666666,0
Consumer Discretionary,-0.014575092397741437,0.021589759111578784,-0.02084862814431432,0.0043929796236513345,3593800,4393400,4970400,4882800,17.41,0.64,0.85,3.31,7.81,11.93,0.023516088170150707,236.119,0.12,5.4,33.97833333333333,23.285486443381092,33.966875,0
Finance,-0.018337582946022717,-0.012673301830386336,0.014386486152774927,-0.007292653684571284,707200,892000,651200,1587300,12.77,0.32,,,29.15,-4.08,0.015765703847883315,246.524,1.16,4.1,63.97999999999999,40.33613445378143,64.17333333333333,0
Consumer Discretionary,0.0013677724460032688,-0.009220676622319027,0.011020744917132307,0.01459403933675193,1634400,2108200,1470500,1595200,18.5,-50.59,0.54,4.07,13.18,7.03,0.014479378021675982,257.797,0.09,11.0,137.34,67.11362032462966,137.995,1
Industrials,0.007483876103389677,0.03228781315710903,-0.0012527335775653532,0.03388535429484501,149300,267900,203900,176400,27.26,0.41,2.33,2.97,17.72,12.28,0.017794979009444694,255.548,2.41,3.6,155.80666666666664,70.91623679685573,156.5,0
Basic Materials,-0.0457062521922886,0.08604061224325586,-0.0121842910930282,-0.014929587917792522,11698200,9454900,13571800,13697700,54.13,0.41,2.07,1.73,0.1,24.17,0.02535303685876323,254.202,2.4,3.8,33.29963333333333,37.490187140722824,33.48784166666667,1
Real Estate,-0.003824768184628065,0.049086672837871444,0.015289123810239516,-0.06120484406205474,1165800,1946900,1065200,1343200,21.71,0.76,,,32.51,72.7,0.01946250683213414,296.276,1.58,3.5,72.51666666666667,51.82481751824858,72.7,0
Health Care,-0.005250869767136343,-0.01967093868848123,0.030501084251938197,-0.03992361345760595,6700700,6039300,10873500,10009200,94.12,0.95,0.74,2.54,-39.74,18.22,0.01598064578871863,307.026,5.33,3.8,105.60666666666664,54.07545412203073,105.74583333333334,1
Consumer Discretionary,-0.005304701786907362,0.014157703683613257,0.0745433741421327,-0.0171451932308491,1213900,1087500,1679900,928900,19.55,0.76,0.58,8.3,8.08,6.03,0.019765136095724167,237.336,0.12,5.1,106.98000000000002,38.8111888111885,106.92750000000001,1
Finance,-0.03708939909320873,-0.006622582641567813,0.04927362287681775,0.016698832524768684,34951000,12408500,9454300,10590800,17.92,0.66,,,24.85,2.39,0.026648613167873186,264.877,0.07,6.1,16.023333333333337,14.529914529914628,15.937708333333333,0
Consumer Discretionary,0.08711208093873989,0.0017781642582201094,0.024595018135150064,0.08362643124695818,14598300,18222800,4291000,4432400,191.06,1.63,0.43,-1.1,7.84,-7.69,0.03740795031388803,251.989,1.9,4.0,388.26000000000005,95.088601385738,386.9425,0
Health Care,0.05557912206455896,0.028819427264622614,-0.032096608159558296,-0.016863247127549014,3475700,3072100,2686500,3752500,19.01,0.55,0.7,3.82,4.37,2.26,0.02690188728159427,237.945,0.14,5.0,121.48,92.16539717083782,121.64083333333335,0
Real Estate,0.005307835551522458,0.02384619087836954,0.03145663048979082,-0.013127384386588191,2453100,2878200,2633100,1426900,57.29,0.53,,,52.02,-55.59,0.02356658452792002,273.003,0.1,5.4,127.22333333333334,49.24795874516554,127.14666666666668,1
Consumer Staples,0.05405400822252913,0.004318426637292428,0.014869291838247685,-0.03094187032203992,2129400,1969900,3848000,3942900,7.32,0.42,0.68,4.17,3.92,1.7,0.023602066489527514,298.012,3.08,3.7,67.95,89.52496954933022,67.86458333333334,0
Finance,0.02755426956859222,-0.023106294631454163,0.026531299425785478,0.09242691286750132,508500,925200,1343300,689700,47.99,0.0,,,28.68,63.79,0.020657696105659228,307.026,5.33,3.8,83.44000000000001,79.4911937377692,83.55958333333334,1
Technology,0.08832993796625861,-0.04563857924385195,0.005331905440035815,0.007207383994337255,4169700,4838600,8106900,4080100,-473.98,0.28,0.54,-6.86,-0.05,14.85,0.029524879869067957,237.838,0.13,5.0,74.54,79.80997624703097,74.04875000000001,1
Consumer Discretionary,-0.007223243743518833,-0.0359131824663271,0.023104291532482505,0.007072595927360905,1373300,1749700,1863900,2998500,15.05,0.79,0.38,-0.43,16.35,11.56,0.026691903490560227,251.588,1.7,3.8,96.00999999999999,43.67816091953988,96.20708333333333,0
Consumer Staples,0.017992975225748473,0.0049883371089031155,0.01615729914947636,0.017897620597179364,118300,104900,99000,75700,,,,,,,0.022358922134699682,243.603,0.57,4.6,65.62333333333333,57.65069551777431,65.66416666666666,1
Technology,-0.05275059856681017,0.014242268904676643,-0.017967484470644696,0.028722241536334778,18068300,18546600,13327600,19934200,32.28,0.09,4.32,1.88,15.49,29.51,0.023064895253998522,256.759,1.85,3.5,181.39666666666668,13.261596626436036,182.03541666666666,0
Finance,-0.005165726261978463,0.01441029762432903,0.04949649407117371,-0.015787388661560924,2381500,2330100,1610100,1610100,20.83,2.01,,,-0.27,-87.58,0.021239798093904125,233.707,0.12,5.7,23.313333333333333,35.22012578616338,23.2175,1
Technology,-0.027249460622429136,0.00023186666800394985,-0.002776040599241428,0.027084768590544032,2870400,2870400,3365800,2864100,29.68,-2.1,1.07,1.84,7.87,6.61,0.0197156047042474,281.148,0.08,4.0,84.61,18.135376756066552,84.56916666666666,0
Utilities,0.03401963641945426,0.002388329811148899,0.01803351456919835,-0.03222461276105416,812300,1367400,851500,1206200,39.24,1.71,0.38,-0.81,15.71,-11.16,0.014699008496825277,261.582,0.09,6.3,156.61666666666667,78.6379698040474,155.88,1
Consumer Discretionary,-0.002521686519458496,-0.005317535758338254,0.017456095349675262,-0.02352472704875139,102100,121800,135600,69700,19.19,0.45,0.67,4.15,,,0.02291518999839069,307.671,5.33,3.9,98.28333333333335,59.70944309927363,98.49125000000001,0
Technology,0.004298065725753784,0.00431655054551377,0.004502855932378905,-0.019941203199065814,2075500,1752500,2257700,3431500,24.52,0.12,3.13,-0.28,13.62,12.33,0.03434318655949564,238.654,0.14,5.2,61.53666666666666,37.88121990369178,61.23416666666667,1
Health Care,0.01809935038216712,0.018138773351543735,0.005284504252194406,0.0023867982610551327,5615000,7134100,6041900,4782800,25.05,0.48,1.04,2.17,26.93,19.31,0.014447224319459115,273.567,0.09,5.2,178.4,76.06927315665179,178.74291666666667,0
Utilities,0.017211402997854407,-0.009377324797888666,-0.0017020563445778454,-0.014261100358385253,8106400,5282600,5020400,3245200,-6.78,6.96,0.66,5.83,-397.07,58.58,0.032431778024466944,242.839,0.66,4.7,11.59666666666667,72.37569060773484,11.665833333333333,0
Consumer Discretionary,0.0039916130375201656,0.0015447624229229424,0.0037392389617321446,0.0007300994457831903,5837900,4715600,7418100,4766000,16.73,0.47,0.7,3.16,16.77,1.49,0.02003893688095538,243.801,0.66,4.4,110.83333333333333,50.691244239631374,110.77541666666667,1
Health Care,8.780025161796108e-08,-1.756005186536919e-07,0.054809577061728565,-0.010239626772625618,2548200,2601500,3176100,3310900,5.26,0.33,1.66,0.64,5.08,14.27,0.017915871218391805,241.729,0.4,4.9,47.616666666666674,58.36177474402733,47.6725,1
Consumer Discretionary,0.0061574427603490025,0.1866112856499631,-0.062395889048929364,0.0919935901432401,5152600,3448100,4557900,2287700,9.49,0.51,,,8.84,8.39,0.0286543202346367,256.394,0.05,13.2,61.88,52.4987629886195,60.84833333333333,0
Health Care,0.02266622378503442,0.030677394233353663,0.007931578415803263,-0.01338888792363858,1197900,1686100,1594900,1594900,37.24,1.5,1.72,2.8,27.6,16.4,0.016056900799197225,303.363,4.83,3.4,171.1766666666667,100.0,170.81583333333333,1
Real Estate,-0.04373075759129436,0.01932660513352353,0.04071371494980423,0.005063023296960346,924400,776200,515900,674600,51.09,2.04,,,17.74,22.95,0.017913096055215936,260.388,0.09,6.9,63.13999999999999,0.0,63.11666666666667,0
Energy,0.08494398925264592,-0.01809333188609673,0.0057696988093850704,-0.003538518277339202,4743200,4531400,8035000,6934500,-26.05,0.61,2.67,-12.1,-92.5,3.47,0.025239661094855193,243.801,0.91,4.4,23.079166666666662,100.0,23.149983333333335,0
Real Estate,0.01170055785462848,-0.010802383115496405,0.007384271736386804,0.0015569224847434744,6900,13400,12500,15700,,,,,,,0.02099653211459703,269.195,0.06,5.8,25.8733,83.15829819854324,25.865404166666664,1
Consumer Discretionary,-0.05687082764103439,0.020931946796906995,-0.0800090795444402,-0.08706576222090597,6973700,5531500,5926400,6991200,-30.17,5.8,0.88,,-16.37,1.02,0.03855561463538688,273.567,0.1,5.2,39.31666666666667,0.5614035087720167,39.26708333333333,0
,-0.04513887002796979,-0.04530410944325639,0.0033259147622927863,-0.09890067664388628,5841900,3412200,3176200,2842900,-7.45,0.57,0.62,1.9,2.2,2.3,2.381632646112848,256.092,2.38,3.7,8.343333333333335,23.425692695214025,8.334583333333333,1
Health Care,0.02350221654793697,0.010007080091958677,0.05396120937973414,-0.02836026952757184,7494700,6309100,5977700,6854100,17.06,10.38,0.56,8.82,30.52,39.21,0.016474111670607708,263.014,0.07,6.2,43.94999999999999,100.0,44.04666666666667,0
