industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Technology,0.018455520055877254,-0.02208502236276783,0.07450885649310848,0.008751613022954758,199900,158700,199800,158600,17.96,0.27,0.62,0.14,3.58,-5.59,0.032487062130092136,287.504,0.33,3.6,42.169999999999995,51.77157148812,42.022083333333335,1
Technology,0.07777775658501519,-0.024918694869252588,-0.04352332568878513,-0.030637901307209205,92500,25900,82400,16100,13.81,0.02,0.88,0.23,1.43,12.52,0.03299752411298575,256.143,2.38,3.6,19.16333333333333,100.0,19.13958333333333,0
Consumer Discretionary,-0.009910467309482961,0.0017043282297556357,0.018177040364310292,0.038613924202470895,536700,441600,924400,813700,26.21,0.95,0.89,2.91,12.61,18.3,0.018859407589056614,256.143,2.38,3.6,232.44333333333336,41.52637485970846,232.5575,1
Energy,0.03354738441339442,0.006860993261274685,0.011342389751829095,0.002944396571068106,1450900,846500,846500,1045700,1.46,0.2,0.56,-7.81,41.22,39.26,0.02671007938767523,303.363,4.83,3.4,77.23,76.41277641277642,77.84583333333333,1
Consumer Discretionary,-0.03473766963927293,0.00408747179599262,-0.001656947160091439,0.04620611480243367,961100,701700,786800,954900,23.9,3.16,1.28,2.22,4.81,11.13,0.018139066976246433,264.877,0.07,6.1,154.73333333333332,19.569263493751695,154.03708333333333,1
,0.009646423635240224,0.019672218719865825,-0.006873966999372349,0.007655746361568866,307200,530900,197900,323000,9.01,0.21,1.0,8.64,13.09,6.82,0.01692775646295395,256.571,2.41,3.7,28.460000000000008,45.940594059406116,28.363333333333337,0
Industrials,-0.018237580495195235,0.0068684155867484225,-0.005504545890457652,0.03578346714081481,512100,564100,725100,573700,13.11,1.06,1.09,4.71,10.75,-5.23,0.01738450786489538,296.808,2.33,3.5,478.42,15.323906609667784,478.94916666666666,1
Industrials,-0.01074526257059621,0.18636197674512908,-0.04187671018052976,0.01176947346126916,955100,890900,1456600,1534500,29.84,0.09,1.55,1.91,1.12,7.83,0.024588052397443445,241.353,0.41,4.7,58.32666666666666,28.384687208216462,58.24333333333333,1
Consumer Discretionary,0.005574521364711655,0.00787506778282258,0.017525675498255986,0.019442891963545917,581600,401000,351500,537900,25.56,0.87,0.96,2.83,12.09,15.21,0.018883175956594736,256.092,2.38,3.7,219.80000000000004,55.852609554806406,219.52541666666667,1
Industrials,-0.03314919476760614,0.009143582536582796,0.023121256549440704,0.03367547719972856,189800,142200,162800,151700,26.69,0.85,0.93,1.25,11.63,10.18,0.02285041816431678,273.003,0.1,5.4,133.56000000000003,4.956117707795473,132.97416666666666,1
