industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Technology,0.009123421576267467,0.03235049163433924,-0.010534855172887086,0.01899260961447065,1429900,2303000,1749800,1608100,28.44,0.64,1.56,5.89,10.89,14.17,0.031441544958783624,240.849,0.3,4.9,25.510000000000005,58.53658536585389,25.471666666666668,1
Health Care,-0.06489262529974847,0.07764667278845938,0.008993312645485162,-0.08807411510990641,3292100,3286900,3879200,2623200,192.7,0.95,4.54,-2.46,15.47,-4.87,0.03538605531653154,296.311,0.83,3.6,69.62666666666667,44.790812141099295,70.9253125,0
Energy,0.09336317087721416,0.0018179925465421896,-0.0254411310216006,0.05809842438324183,3664300,4776200,25284700,4230000,11.14,0.24,1.87,4.34,32.84,36.88,0.024663499325989283,287.504,0.33,3.6,122.27999999999999,79.63004737198285,121.73458333333332,0
Health Care,0.028178682685889363,0.053584388229555094,0.007049122990514997,0.05190485163939319,466000,509600,654400,249700,-39.51,,,,-31.45,-53.08,0.03598238956443144,236.525,0.2,5.0,45.12333333333333,74.10714285714296,44.84583333333333,1
Technology,0.20999341517592868,-0.024269781674951918,0.06740033272346566,0.0025281685726272008,5625800,4393400,4728100,5878500,603.59,0.15,1.87,2.15,-5.06,22.82,0.04522159601899697,296.171,2.33,3.7,52.73666666666666,100.0,52.9525,0
Telecommunications,0.011813476898440547,0.0031182057168068107,0.007751803364554691,0.02711420204102117,327000,540100,540100,633300,17.78,1.27,0.42,1.09,14.1,20.94,0.014357107444652595,246.669,1.16,4.2,48.60999999999999,98.63945578231318,48.623333333333335,0
Consumer Staples,0.021576706727444318,0.007920602585551967,-0.009836430579030277,0.027591959847416598,7660800,6666900,8513900,5037700,13.34,1.16,0.54,1.94,3.22,2.99,0.019550868860534306,267.054,0.07,6.1,76.12,95.58948261238353,76.24375,0
Health Care,0.04845037909732703,-0.11701797052934988,-0.03334296907109076,-0.018156010649603305,1186800,1285600,1231400,1389200,-68.3,1.07,0.56,7.55,0.83,-0.59,0.020436988404103185,254.202,2.4,3.8,116.93333333333332,94.41674975074774,116.74625,1
Technology,0.01903198930732406,-0.029156365257061587,-0.026417884585887962,0.0316241031483172,31098000,20546000,27718000,33306000,30.7,0.07,3.26,1.67,18.17,22.46,0.0192549550998965,259.918,0.1,8.4,74.74333333333333,72.52816812254716,74.88122916666666,1
Consumer Staples,0.01878462529790353,-0.003304008176215614,-0.009094336579473993,-0.012572004511920564,4444100,3317000,4212300,2848800,42.39,0.68,0.18,281.07,11.17,19.74,0.016089013346956747,256.759,2.13,3.5,27.69333333333333,54.06824146981628,27.655,0
Consumer Discretionary,0.007035279260281398,-0.005621271450513972,0.0028816942771132266,-0.025991651426386864,1345400,1174800,2171600,1228600,43.7,0.96,0.84,-0.53,6.01,13.92,0.018886765298109905,244.524,0.91,4.4,80.25333333333332,55.749128919860624,80.22041666666667,0
Consumer Discretionary,-0.05781443148242201,-0.03478266298866472,-0.02578280731215831,-0.007965347615287572,1873300,2353500,1916500,1492200,31.6,0.27,0.46,2.03,33.75,45.31,0.021789257268385032,292.296,0.83,3.6,123.00666666666672,21.81242221970808,122.94333333333333,0
Energy,-0.20143048356189353,0.28878642330708876,-0.043350457831373555,-0.12532137861298562,49502200,37197400,36902400,44491700,-2.69,1.27,0.5,7.76,-33.54,-5.95,0.02067240377083982,256.394,0.05,13.2,14.746666666666664,4.347826086956513,14.495833333333334,1
Consumer Discretionary,-0.017131817584879833,0.0055253148214681955,-0.09554164820323864,-0.0039043183163590565,2011100,2366900,2411400,2165900,32.49,0.88,0.88,3.14,-5.03,18.77,0.017557728121598743,241.729,0.41,4.9,92.27999999999999,21.500386697602423,92.05208333333333,1
Industrials,-0.015264297786356336,-0.021697420328103387,-0.07431453352845303,-0.0008854857926209248,2298600,1293800,1933000,1345200,24.46,0.35,1.95,2.51,19.7,12.21,0.01763323406857589,252.885,2.2,3.8,150.62333333333333,44.61138935262476,150.69958333333335,1
Real Estate,0.0015849601090704192,0.0051771742717940964,0.001595619562916883,-0.001195262528994166,104700,23200,62600,44800,,,,,,,0.03610130766123895,277.948,0.08,4.2,25.320000000000004,46.82926829268334,25.305416666666666,1
Finance,-0.005777830509205829,0.004000885042691874,0.016268289698076362,0.015778676942471186,1758800,780600,1061200,1286800,21.5,0.76,0.89,-3.08,10.51,-0.83,0.016265458290998666,241.428,0.4,5.0,49.856666666666676,46.733668341708515,49.83291666666666,1
Finance,0.0018781281133583606,-0.040921780219284415,0.022431302572837354,0.009390705151438914,1816600,1816600,2820300,4167300,11.51,5.25,,,10.1,-90.42,0.025053204138866855,238.654,0.13,5.2,209.06000000000003,48.008385744234666,208.51833333333332,1
Technology,-0.15024639015144206,0.2530863105994053,-0.10373471994333579,-0.282025846384584,15941549,19399128,13906888,14939502,-24.5,2.41,,,31.59,-3.95,0.017447964518766512,256.389,0.05,14.7,45.53013333333333,12.875945907620103,44.8668,0
Telecommunications,-0.02069222116776667,-0.03134112950486857,-0.015428786947521634,0.01345457597212358,2703500,3270600,2822300,2214800,-20.0,2.31,1.16,-23.18,7.59,18.35,0.0214500581643804,252.006,1.91,3.8,26.05,34.24317617866011,26.1175,1
Technology,-0.07252469890644084,0.02668355624779859,0.015746014557162954,-0.013580024429344664,7335700,3964000,2172900,1624000,-19.3,2.05,2.03,-3.58,-93.82,13.29,0.02898101309644303,271.696,0.06,5.9,116.06000000000002,24.607639917086136,114.63916666666667,1
Health Care,-0.016372036972837973,0.017014007579755873,0.0048060225323890895,0.007592646106614365,1790500,2083700,4343200,2724700,15.17,0.72,1.39,6.71,4.29,5.16,0.019612635291921903,238.654,0.13,5.2,164.14,46.861313868613166,164.98541666666665,0
