industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label,quick_ratio,total_shareholder_return
Consumer Discretionary,0.014678069526247435,0.0035216526201045685,0.014056275087972551,0.06726411843921712,10074400,6237700,7529200,9926000,106.2,1.26,1.51,-10.38,0.03958609272327369,238.638,0.13,5.3,89.53896190476189,87.97294827271064,89.8049738095238,0,0.98,-0.69
Technology,-0.06177605314796068,-0.062414180026281456,-0.0009976534308393837,-0.015711289555886274,592400,777600,445900,344000,46.52,0.06,10.62,3.1,0.0251397893496326,236.916,0.36,4.8,70.38666666666667,10.728476821191926,70.83416666666666,0,3.93,-4.63
Industrials,-0.023425097485545915,0.010672066407265791,-0.002569345377873053,-0.00219774167775448,1345200,756900,709500,860200,20.33,0.69,29.74,21.17,0.016967560962699624,246.663,1.16,4.2,80.50999999999999,1.0989010989001113,80.64541666666668,1,0.45,4.17
Utilities,-0.009236560384422615,0.06929777515614016,-0.020074155232587668,-0.035888767911946985,3428000,3970300,3968700,5877300,36.48,1.69,18.98,-2.55,0.013411948081536678,305.109,5.08,3.6,52.48,39.9380804953562,52.58041666666667,1,0.38,1.75
Consumer Discretionary,-0.014595048041143492,0.06476029892227958,-0.05014243975622669,-0.025168967984427915,1248300,1479600,1333200,2114100,26.2,3.5,7.76,-1.25,0.018508094502704197,257.797,0.08,11.0,190.68757777777773,43.680709534367935,191.05882777777776,0,0.48,1.86
Technology,0.022703786518049107,-0.05573963230958539,-0.012129327494706686,-0.018703980214600322,862600,987700,1005300,929400,-28.7,0.09,-15.68,-21.26,0.040256057677421075,252.439,1.92,3.7,48.50333333333333,76.53061224489792,48.812083333333334,1,4.65,-0.16
Telecommunications,0.046765115989127574,-0.03215925429516929,0.005646848713371904,-0.01880461250432884,219000,219000,213100,175100,7.49,0.07,30011.94,-232.6,0.016754797104462163,240.628,0.4,4.8,59.606666666666676,85.47008547008534,59.3425,1,17.79,-0.19
Utilities,0.026946136451823845,-0.013408425281212525,0.04041485647239069,0.03229037572473096,2224500,1868600,3935400,2897900,22.62,2.32,22.03,-0.93,0.013040781149845481,241.432,0.41,4.7,74.49666666666667,85.18518518518499,74.70375,1,0.18,0.02
Technology,0.025623208941844517,0.006676978204430528,-0.02051499003339837,0.007910144929501177,1623200,847900,795800,1045300,23.01,-5.3,9.11,11.16,0.02376289486735956,256.092,2.39,3.7,147.41333333333333,69.42482341069663,146.77958333333333,1,0.69,-0.74
Industrials,-0.13962275739183733,-0.08515530556537301,0.035756776086057374,0.07151990181737602,35687608,21312495,17947638,12554888,,,,,0.02863339542435162,238.316,0.15,5.1,6.555103550295858,6.84736091298147,6.552021696252465,1,,
Consumer Discretionary,0.038972161873458304,0.05290805350724289,-0.052566148803664815,0.005581464626706976,317300,349100,268100,317800,35.68,0.84,17.46,11.25,0.019224763874981822,276.589,0.08,4.5,408.5833333333333,98.6132387325647,410.29125,0,0.44,2.01
Utilities,0.053668688682929226,-0.01660852395271171,-0.0018420298519472023,0.0020303384076704634,1305600,909400,741200,521600,,,10.08,14.13,0.013413499310890621,251.588,1.7,3.8,54.98333333333333,100.0,55.135,1,,
Health Care,0.025285771361434724,0.013601925453819119,-0.03179254122809141,0.04660903916976608,397800,700000,700000,349600,16.54,0.08,226.25,177.41,0.04332189957985676,252.776,2.4,3.8,422.35999999999996,81.39663262489648,420.6575,0,3.5,0.71
Finance,-0.01507879278565948,0.008891085746033566,0.11953995201155651,0.01398596934529843,8164100,5316800,12947400,4353600,10.63,1.13,30.7,29.1,0.026267669269139364,256.759,1.9,3.5,14.341666666666669,42.02898550724635,14.352083333333333,0,,
