industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Utilities,0.03335499121218741,0.025895441166562158,-0.0001320732861866999,-0.010296082453015798,1684300,2183700,1040600,1065800,-18.64,2.09,0.4,4.02,3.19,-11.69,0.015272056670616473,244.955,0.91,4.3,79.72333333333334,100.0,79.66666666666666,0
Consumer Discretionary,0.12621696272278488,0.0002318182537814634,-0.024539162744052406,-0.04109738522402556,6853200,7063700,15163900,26441400,15.54,1.38,0.21,2.23,4.45,-0.77,0.026291255374021865,276.589,0.08,4.5,97.83999999999999,69.50946468552817,97.19624999999999,0
Consumer Discretionary,-0.01976980576657361,0.006916018212159232,0.001309983850979539,-0.0009351789877538652,403800,330100,194200,170800,24.73,0.34,1.6,1.12,2.75,10.61,0.022560459319909795,233.707,0.12,5.7,108.23,25.0,107.19666666666666,1
Utilities,0.012760554726347871,0.004863239203772884,0.011629602846524128,0.024282183621199133,1841500,1582200,1570300,1223700,13.24,1.1,0.3,2.3,13.48,5.49,0.01684144774085632,233.707,0.11,5.7,68.34666666666665,74.63572584997294,68.51416666666667,0
Consumer Discretionary,-0.0133422426551718,0.039219560627881705,-0.025480159966186487,-0.00889611916042798,226300,273100,188800,415500,37.89,-70.15,0.72,0.37,5.31,18.98,0.028123809743095494,241.432,0.66,4.7,103.52666666666669,37.661097852028576,103.54083333333334,0
Miscellaneous,-7.4023380378393e-05,-0.005090470516603983,0.052488806266467125,0.0130574595936902,323900,476100,501000,268200,23.8,0.97,0.16,3.37,2.04,-1.87,0.021680033277646355,254.202,2.4,3.8,135.34,43.34724153917435,135.1329166666667,0
Energy,-0.08488057064319664,0.016172463247280843,0.17405051227197513,-0.03658541827663055,5026200,6523700,7429800,10657800,33.59,0.32,0.53,-0.13,-1.56,-58.88,0.031282131229009504,257.208,1.55,3.6,3.503333333333334,14.814814814814833,3.50375,0
Consumer Discretionary,0.014301298958685421,0.006607900564360321,-0.015489408660450333,-0.08027640374284327,55528600,40741800,42178600,38773700,65.32,0.75,0.74,-2.2,6.9,6.93,0.035843028621465864,307.671,5.33,3.9,131.31666666666663,44.70246734397668,130.52708333333334,1
Consumer Staples,-0.03235252205160375,-0.030678455384722473,-0.014516910524071506,0.06704711009573568,1979000,2132500,1778200,1623100,8.14,0.44,0.76,2.27,6.32,-4.93,0.023662075259313103,296.311,1.58,3.6,83.52666666666669,13.973458235753252,83.32416666666666,1
Health Care,0.02579141176350152,-0.031665756893166634,0.22666539679987743,-0.052193614773212715,634300,1077200,1180100,1486300,96.49,2.24,0.93,2.97,2.98,0.8,0.017138687285974303,256.389,0.04,14.7,125.07333333333334,64.25770308123252,126.45333333333332,1
