industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Technology,0.3115189950677413,-0.2597451359035928,0.07277842399936867,-0.23688245710982195,4373600,3358300,3219800,3056000,-112.6,0.11,1.58,-4.62,-28.79,-1.9,0.03897221173772563,258.115,0.2,4.4,49.61166666666667,99.56639566395664,49.43625,1
Energy,0.13588288875100213,0.04631371461007018,-0.0881850698865088,-0.018289803336939286,23475300,25491400,25152300,25451400,4.72,0.76,0.81,0.94,26.8,33.58,0.02269345485350149,298.012,3.08,3.7,69.34666666666668,86.88046647230317,68.97916666666666,0
Consumer Discretionary,-0.026203297244666718,0.022137233394729214,0.14308035211528608,-0.022296985934906633,17280500,21310400,39044000,35949100,-3.31,0.1,8.55,-799.01,-470.33,-429.4,0.0645546821416945,296.171,2.33,3.7,37.309999999999995,34.12675652423289,37.22958333333333,0
