industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Utilities,-0.10066898175032424,-0.056931790581037284,0.007909343676873386,0.022842677990056372,289000,190600,272500,376700,20.11,0.07,2.4,-0.78,7.33,4.17,0.030534711721963592,258.678,1.58,3.5,55.73666666666666,14.82870717679421,55.748333333333335,1
Utilities,-0.017386976306614583,-0.00020139758552175136,-0.005816405743536552,0.007069028114688934,1363600,2020000,3159700,1695600,26.46,1.66,1.01,4.02,-4.24,8.75,0.024302104295398183,238.638,0.13,5.3,48.39666666666667,4.870129870130243,48.471666666666664,1
Consumer Discretionary,0.04164325742648466,-0.05129494704737578,0.06184292425971811,0.012947991127746441,277100,316200,281700,309100,20.66,0.28,1.0,2.92,7.1,-3.54,0.021390925105932553,303.363,4.83,3.4,313.74333333333334,61.27049180327894,312.495,0
Consumer Discretionary,0.010241756166646996,0.002489363178305323,0.015481719661783971,0.027264076880186425,2574854,1869889,1939970,2078470,15.26,3.31,0.91,-0.7,2.31,-10.04,0.014082088726102872,236.119,0.12,5.4,32.4,69.96904024767787,32.41833333333333,0
Health Care,-0.015265280889072686,0.05910414972944767,-0.05224822304201638,0.03698885142533945,5267300,4785900,5708900,4636600,12.35,0.61,1.02,-0.16,-7.64,11.18,0.02508525546164659,259.918,0.09,8.4,39.343333333333334,22.0657276995312,39.37916666666666,0
Consumer Discretionary,0.027411848605703882,0.025151345902768664,0.05159185189165248,0.028202075797624737,1536800,1781500,4085200,4065900,-10.06,-19.73,1.37,0.06,-14.31,-15.21,0.03201248144584381,296.171,2.33,3.7,68.30333333333333,58.57451403887699,67.88458333333334,0
Technology,0.03739603131086495,-0.050024050024050026,-0.060248006220906695,0.0377270338724076,1470100,1648900,3079500,1046700,8.16,1.15,0.82,1.21,14.12,47.07,0.0284634526253573,259.101,0.1,10.2,117.12346666666663,72.21940840390242,117.186025,1
Utilities,0.001701341427049491,-0.032907962002801334,0.009302646857674726,-0.005930389299646027,313500,311700,297100,396800,20.16,0.36,0.44,3.85,9.02,-3.23,0.01255512639473859,246.819,1.16,4.3,46.71999999999999,69.6078431372548,46.84,1
Health Care,-0.022446668090934506,0.08924199449900155,-0.1610256097255609,-0.13333333333333333,1122000,1207000,1583500,1294100,-42.28,0.57,7.22,-6.4,-42.17,-31.8,0.05862664746145282,292.296,0.83,3.6,8.736666666666666,38.59649122807019,8.7325,0
Health Care,0.002061026771019622,-0.039461501864051375,0.0022486530737630263,-0.005786460232885158,1890900,2844400,1566700,1603800,22.51,1.63,1.55,-1.15,6.25,-8.05,0.028122865346611053,234.722,0.11,5.5,73.51666666666667,35.427706283119,73.28750000000001,1
Technology,0.008577061119150176,-0.011947771189826175,-0.029003021396783388,-0.0049664798198930365,2375300,2839200,1927100,2103800,136.91,0.22,1.74,1.21,8.21,33.82,0.0331642491742762,233.707,0.13,5.7,70.67,68.52367688022272,71.07916666666668,0
Consumer Discretionary,0.011811043824088888,0.09325683141083121,-0.06317207841587007,-0.002680962576976282,1084300,700400,520600,838000,-5.04,0.27,1.07,-7.46,-11.59,-11.46,0.03541343051212606,257.346,1.82,3.6,7.4433333333333325,64.21052631578948,7.560833333333333,0
Consumer Discretionary,-0.001094864466799016,0.01398773358360897,0.02573433570969121,-0.013553946540011455,747800,845900,421300,437700,21.33,1.01,0.43,3.7,4.74,5.35,0.015190443751472852,277.948,0.08,4.2,136.04333333333332,62.73666092943231,136.35208333333333,1
Technology,-0.06436532530360826,0.05250824393996528,-0.06076614779390892,-0.036282683225457996,3649100,3893600,8793700,3230000,106.08,0.61,0.98,-3.07,5.95,36.69,0.039608634125798896,296.808,2.33,3.5,42.21666666666666,24.324324324324266,42.250416666666666,0
Industrials,0.06229968303661152,0.004126509172509129,-0.02005658042778978,-0.04869979165674471,728100,1147800,1035200,562600,44.85,0.61,2.56,0.02,20.27,17.36,0.03454972295011618,276.589,0.08,4.5,129.63,81.88322178629134,128.73250000000002,1
Consumer Discretionary,0.03278485220207599,-0.012445182339310823,-0.05629211575220958,0.004401279100497751,283300,297300,472400,392800,17.86,1.3,1.42,0.73,7.6,-3.34,0.021649567758938927,273.567,0.09,5.2,84.33999999999999,73.04500880060353,84.67916666666667,1
Health Care,-0.038598997189966885,-0.08889611278486324,-0.033973004087809795,0.02913569257565302,157800,162000,404100,149200,-24.19,0.45,6.75,-2.01,-241.38,-175.38,0.04386164098153126,276.589,0.08,4.5,26.766666666666662,35.32219570405727,26.942916666666665,1
Industrials,0.02719179762968045,0.03559496785715801,0.004920300229486281,0.026208197685240544,854100,802300,597800,536800,8.9,0.64,1.3,8.52,13.46,14.51,0.025630780770153332,305.691,5.08,3.5,136.26666666666665,63.65997638724921,136.0525,0
Consumer Discretionary,-0.014586756720861078,-0.043410776183997746,0.04453432207184536,-0.08382782481498902,155200,276200,164900,221300,27.44,2.86,1.14,-19.55,7.5,10.68,0.029368060274063374,300.84,4.58,3.6,11.99,54.22138836772985,12.102083333333333,0
Industrials,-0.010421313233346604,0.011418472025376257,0.015384704614242475,0.04060315960821014,1026100,914800,657900,710600,18.8,0.52,0.66,4.3,10.11,58.4,0.021176111657388787,260.28,0.09,7.9,45.52,44.89051094890496,45.53958333333333,1
Consumer Discretionary,0.0,-0.03225803350434739,-0.2954545362182885,0.0,1279900,1384600,1547000,1770200,49.14,1.18,1.28,-32.25,-118.57,-19.17,0.059115026531755106,258.115,0.12,4.4,0.2775,64.82218513287971,0.2864458333333333,1
Industrials,-0.01720766145976148,0.038164835811587305,-0.018073097811980895,-0.03015847980840671,1950600,1950600,2448700,1666500,6.95,0.31,1.96,10.99,-4.23,11.25,0.019603709809389483,307.789,5.33,3.8,76.75,25.515947467167017,76.40333333333334,1
Consumer Discretionary,0.039445599445599444,0.007009906844124223,-0.0031262732393048448,-0.024690563901937402,522300,657300,838700,1732100,17.47,0.37,2.63,1.94,14.69,18.13,0.01873251717059345,244.524,0.91,4.4,173.46333333333334,50.98169717138096,172.08541666666667,1
