industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label,quick_ratio,total_shareholder_return
Consumer Discretionary,0.03198032714086321,0.0033941106377232385,-0.02232279337648943,0.023148244338095064,471700,468400,362800,476300,37.56,0.95,1.18,0.94,0.023986662710992524,252.006,1.91,3.8,32.98333333333333,90.62499999999994,33.147083333333335,0,1.06,-2.77
Consumer Discretionary,0.14641146037291494,-0.23583183447812606,-0.11631664919958533,0.056314046718195024,55361300,60475400,81994300,96028800,-30.07,0.58,-22.01,-0.54,0.06400584110017124,283.716,0.08,3.8,23.616666666666664,74.14618576444302,23.659583333333334,1,1.99,-35.89
Industrials,0.00272098417231179,0.021754236759710634,0.05307898821710834,0.03380641594434516,360900,242300,276200,267800,41.6,-4.27,8.12,27.71,0.018818139531068062,258.678,1.59,3.5,649.8133333333332,58.129738837405185,650.4679166666666,0,1.56,9.15
Consumer Staples,-0.00394498832447888,-0.012520784789990684,0.002231071166352378,-0.004718375094481164,2321900,2754400,2656400,3340400,15.77,1.1,12.65,4.03,0.016962334463240483,260.474,0.09,6.7,35.47666666666667,33.497536945813,35.42125,1,0.3,2.12
Industrials,0.03255548217229187,0.08016105885168427,0.013574740160822968,0.06974727548481088,2726600,1702600,1728000,1207900,15.28,0.73,24.24,11.33,0.01851365968007331,251.712,2.4,4.0,165.6466666666667,87.41687979539651,166.54666666666668,0,0.53,6.82
Consumer Staples,0.013946911476125408,-0.02271684537290749,-0.007056025222527094,0.0036968475396529973,3018900,3197800,2998500,2580200,23.57,0.51,4.52,5.47,0.01793419918991879,238.638,0.13,5.3,85.44666666666667,54.11408379606261,85.13541666666667,0,0.7,-12.33
Consumer Discretionary,0.00991978146238887,0.05209820465140849,0.01718724386527146,-0.01578792706710419,8180900,14327500,12359100,12714800,5.94,1.96,4.49,-1.22,0.017930707563786032,246.819,1.16,4.3,37.08666666666667,58.12672176308548,37.24250000000001,1,0.58,8.32
Utilities,0.046063315717451675,-0.00729330041446411,0.012166803808826685,0.02999175271730991,2419500,3465900,2781600,2662600,17.82,1.32,13.33,10.63,0.01299468783845564,252.038,2.19,3.8,75.23,84.74980142970622,75.49625,1,0.38,3.31
Consumer Discretionary,-0.03841002631120387,0.005710406035342072,-0.008327765229699394,0.01693770335185631,1724900,2871000,2391700,1977500,10.98,1.36,8.39,-4.84,0.02193090270214175,296.171,2.33,3.7,28.77333333333334,18.636995827538236,28.9425,1,0.97,4.65
Consumer Discretionary,-0.010317572614823075,0.00036793497218303394,0.03179489256114312,0.026775075364778366,237800,302800,199600,176600,31.97,0.98,9.3,6.44,0.022754195866002892,269.195,0.06,5.8,428.21999999999997,43.315789473684355,429.73291666666665,0,0.61,0.97
Industrials,0.008973438425091452,-0.0452364523995596,-0.05290487468422113,0.02426860186462352,2671000,731800,572900,854800,10.93,0.84,36.93,7.47,0.01639493269575664,236.525,0.36,5.0,28.19333333333333,54.999999999999936,28.139583333333334,1,1.28,-2.4
Consumer Discretionary,0.03704065327053182,-0.03916764964291402,0.033774589184868906,0.005578934178717357,56912900,45345500,65051900,73469400,246.49,0.91,2.49,-6.5,0.036058698809527674,304.127,5.08,3.7,105.16166666666669,100.0,105.2175,1,0.69,-1.73
Technology,-0.04326824465462113,0.023398986217065966,-0.011882797534484794,-0.006861272247490937,656600,1438800,731000,731000,23.82,1.37,6.06,-3.47,0.017389240016113406,263.014,0.07,6.2,105.2433333333333,4.731574158325835,105.785,0,0.92,0.77
Real Estate,0.035299600066877886,-0.04941415888293084,0.013864465478310389,0.0015168188338918632,430100,223700,222200,462100,19.06,1.14,35.01,0.67,0.018133509051204453,237.336,0.13,5.1,84.59666666666665,93.53390211046252,84.80166666666668,1,,
Industrials,0.011062070489831913,-0.006947780101848573,-0.005354982333647658,-0.018121502312323175,873400,1715500,966000,1020300,30.16,0.62,18.02,-3.62,0.01773127122553309,299.17,4.33,3.4,307.8900000000001,68.99577510562246,309.62833333333333,1,1.68,1.96
Technology,0.09773867383733321,-0.09419780079133579,0.04267328118369894,-0.05480295669269655,3739200,3547200,3707400,3714600,-186.25,18.82,0.21,31.25,0.024452780683930486,296.171,2.33,3.7,168.60538888888888,100.0,168.15330555555556,1,0.71,-2.33
Technology,-0.03619357229274103,0.006791349536340061,-0.0037346362562667166,0.012065808721608895,9158400,8067900,9909300,6533300,15.45,0.03,15.27,-12.39,0.03299771588230096,238.638,0.13,5.3,67.45666666666666,11.175020542317286,67.44187500000001,1,2.86,5.53
Consumer Discretionary,-0.04695864455528582,-0.02018027664534925,-0.03342002137619393,0.028900237140044718,1035200,1722400,1011100,1685300,53.47,0.49,16.07,33.42,0.04446195536067861,252.885,2.18,3.8,71.36333333333333,8.851674641148405,70.80416666666667,1,1.9,2.1
Industrials,-0.03708529904652155,0.005416142482088584,0.03273668462562178,-0.046539002838758274,1010500,852700,960400,1031100,28.37,0.36,9.55,15.03,0.02033820866227496,260.388,0.09,6.9,170.8166666666667,8.823529411764754,170.97750000000002,0,0.53,6.47
Consumer Staples,0.015670016573032096,0.01577770878461518,0.05447581914206526,0.001769888725905497,2976569,3066774,2047995,4332846,16.3,1.87,8.44,9.03,0.01556003808875362,296.276,1.58,3.5,68.69826666666667,89.40301535909971,68.85035416666668,0,0.36,3.49
Finance,0.0007542023004807147,0.011154676581867862,0.03217876681945882,-0.014641847841433,254600,434400,995700,404500,14.15,0.22,17.68,29.37,0.018915388858759284,256.974,1.55,3.6,106.18333333333332,55.078125,106.05250000000001,0,,
Real Estate,-0.012694979848502956,-0.014767684729125015,-0.012940511036443596,-0.011178078534239756,1839700,1727200,1008000,1656200,5.99,0.76,36.64,27.81,0.020080549386878435,240.849,0.4,4.9,62.036333333333324,28.881171331866902,61.98462083333334,1,,
Consumer Discretionary,0.0594271346927774,-0.12809047458375405,-0.011697604269178657,0.10189925186872861,2840300,3156800,2310800,2315900,29.7,0.01,6.91,7.21,0.02145951331241369,252.439,1.92,3.7,34.53333333333334,100.0,34.62291666666667,1,1.34,1.05
Consumer Discretionary,0.03924681181083779,0.014132981126747582,7.634644162253194e-05,0.006691188589136275,18047600,9132500,7404500,7631800,55.61,0.53,5.52,3.72,0.01970623311295707,257.208,1.55,3.6,134.06333333333336,89.42646587632181,135.17541666666665,0,0.66,-20.62
Consumer Discretionary,-0.015232583393079403,0.03837044723754664,0.032051222096213916,0.03762560059300019,305200,318600,405400,405400,114.85,1.76,0.6,2.57,0.02535554934763453,260.28,0.09,7.9,1309.756666666667,30.809323874330374,1313.02,0,1.39,-0.12
Real Estate,-0.10182437577727313,-0.0398962820376423,0.06530727186999372,-0.0012424784642351134,2087800,2077100,1655600,1107200,48.4,0.83,24.64,-18.3,0.02138497592189887,256.394,0.05,13.2,140.78333333333336,5.134788189987134,139.30125,1,,
