industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Energy,0.11197340096823359,0.026916587295151628,0.06490619706933594,0.07054237508380044,12286600,10796500,12331000,8502500,-15.88,0.51,1.98,6.7,-12.76,10.15,0.020657115460056136,263.014,0.07,6.2,53.26666666666667,69.13425345043916,52.819583333333334,0
Industrials,0.05712773758129331,-0.0011613282161655589,0.043296265639448266,0.025023927998982606,861300,616200,540450,801450,23.86,0.02,1.68,0.41,11.82,12.0,0.032537774493091205,251.989,1.7,4.0,107.89784444444444,100.0,107.79784444444445,0
Consumer Discretionary,0.04589232200843707,-0.013415303482739827,-0.0005586720164777876,0.029327213730980257,2707700,733300,673100,675100,23.06,4.52,1.02,-1.4,2.12,2.56,0.047934718908466234,246.669,1.16,4.2,18.115000000000002,78.9812332439679,18.220416666666665,0
Telecommunications,0.004242229347430049,0.019216868159014446,0.0048275179257538,-0.013101448009718396,729700,815100,902700,444200,21.86,1.34,0.54,7.58,11.96,18.65,0.014379475387774211,260.388,0.09,6.9,42.723333333333336,48.44720496894402,42.6925,0
Consumer Discretionary,-0.010148510691255223,-0.029779007731632928,0.04139049028470988,-0.035110957156732236,1839300,1839300,3006700,1916700,81.6,0.17,15.1,-0.49,12.98,11.26,0.0284382301272244,297.711,3.83,3.6,79.81,29.20792079207914,80.06083333333333,0
Finance,-0.005508133267622372,-0.006255662067322099,0.013253222907855529,0.01216468080909099,79500,40400,96900,88800,26.69,0.03,0.46,2.62,11.99,-9.68,0.019797263570166868,244.524,0.91,4.4,120.66769999999998,33.04864978926388,120.43583333333333,1
Energy,-0.04235840048975247,0.04111567462384719,0.031625141399787456,-0.0007597553788332104,8781600,9022600,8932600,7652700,12.38,0.43,1.03,4.04,-0.33,-13.04,0.01947544916614706,234.722,0.11,5.5,67.24000000000001,0.0,67.35666666666665,1
Technology,-0.03527673141892815,-0.0011855465451043794,-0.03170699375745031,0.08372728040912533,1331700,1626100,1626100,1281600,61.02,0.48,1.11,2.44,5.52,7.53,0.029415583817966117,300.84,4.58,3.6,402.34,37.79880478087649,405.08666666666664,1
Consumer Staples,-0.0471826384939718,0.06526613827561921,0.011124761196917524,0.01514376765782936,7395100,2061900,2857300,2427500,179.96,0.43,0.88,2.9,13.64,-6.99,0.015558961044722342,240.229,0.37,4.8,83.07000000000001,17.3112338858196,82.55833333333334,1
Industrials,0.059331205547535154,-0.04117420742440234,0.009301180015937556,-0.0033869950583087127,1034400,1515300,1306300,839400,14.83,1.11,0.76,5.13,8.04,-10.54,0.018975727517433733,256.143,2.38,3.6,167.6233333333333,92.59627329192541,168.53208333333333,1
Consumer Staples,0.028267602617422474,0.04613203850836872,-0.013074814346871869,-0.005341274347865802,3108000,4983200,1728400,3727500,14.7,0.48,0.55,5.42,2.53,-24.28,0.019837102431816727,250.546,1.69,4.0,45.32333333333333,88.1040892193313,45.21791666666667,1
Basic Materials,0.047833345329800186,-0.002140765538645173,0.02321547123530275,-0.02289775058069814,1730000,1872800,1286600,1203500,46.23,0.25,2.24,-2.45,13.87,17.17,0.0322151954777409,244.733,0.91,4.4,48.29666666666666,89.9180844360429,48.29958333333333,1
,-0.0040296747672330276,0.05620499328894407,0.005127754354956241,0.001261530491657559,208700,209300,209300,398800,73.09,0.15,2.6,-1.74,20.61,23.79,0.02678270919292938,260.474,0.09,6.7,362.9133333333334,28.697571743929362,362.08000000000004,1
Consumer Discretionary,0.014929492230647446,0.045203043544973114,-0.0417084929585449,0.006818833656757001,1106800,572700,595900,748700,19.8,1.9,0.46,3.26,8.5,9.37,0.022945959734930518,281.148,0.08,4.0,150.34,71.72444844664574,150.48000000000002,0
Industrials,-0.017683613185115125,-0.015666098102422088,0.0029097073559529634,-0.005689328483723594,698400,527000,377400,377400,19.15,1.39,0.67,1.6,12.22,15.46,0.02057040776462028,242.839,0.66,4.7,100.33999999999999,18.767507002800844,100.51833333333333,1
Consumer Discretionary,0.017317726899828467,-0.05772292618382846,-0.06914009705398445,0.04444944811291359,1491600,2065400,3041000,2584300,35.23,1.36,0.97,2.87,12.44,-20.41,0.01921151780988453,298.012,3.08,3.7,205.1833333333334,55.13981882630963,204.33583333333334,1
Industrials,0.0012372676268941694,-0.056706494707271037,-0.011252386787146998,-0.015527392371438293,446600,538600,554300,507900,32.67,1.34,2.21,0.21,8.14,-5.03,0.023608747648462054,252.885,2.19,3.8,96.97333333333331,52.665690988919,97.14208333333333,0
Finance,0.014150191621615996,0.014164406073883862,-0.04002712444874141,0.01632397091937871,2141300,1605400,2185600,1346700,28.58,1.74,1.17,1.4,7.96,33.85,0.016661179943811992,260.388,0.09,6.9,114.88666666666667,72.98201589293183,115.13541666666666,1
Energy,-0.0811832083603944,0.0008907318095585235,0.010573521751244746,-0.025860207569070603,22149400,24846300,31042400,10584000,402.77,1.23,1.54,0.57,8.31,7.56,0.024057020928545676,252.006,1.91,3.8,40.49333333333333,38.89039242219218,41.14125,1
Technology,0.044803020276892175,-0.012635557093643328,0.046567835573711296,0.03146114180034753,1909600,4524300,1715200,2316000,53.11,1.72,1.56,1.78,19.33,50.04,0.02256029262469721,260.474,0.09,6.7,432.18,75.31508039982617,430.9675,0
Consumer Staples,-0.02483327884725313,0.01011700578167803,0.00016789920196345648,0.0518162046076489,963000,632200,735700,648300,20.78,0.77,0.98,-12.71,19.61,2.39,0.021414302343594357,269.195,0.06,5.8,238.04999999999995,11.226428884666053,236.9875,0
Consumer Discretionary,0.02537137258996332,0.10840744192271867,-0.028866576600872,0.08074627356752545,5731600,12675200,9616800,12495600,15.9,0.23,2.39,-0.24,26.8,36.96,0.024819851102317728,256.394,0.05,13.2,19.721666666666668,51.723495435066184,19.66,1
Consumer Discretionary,-0.00828900426076303,-0.017985874628920873,-0.025336193115473277,0.01138892775882779,2016200,2767900,1700100,1226500,24.47,-1.29,0.38,7.19,6.51,11.01,0.02199628417889775,238.654,0.13,5.2,74.52666666666666,42.56559766763875,74.2925,1
Telecommunications,0.02110879412990823,0.03706971546462649,0.04546839374606253,0.07867027339194779,36195700,16528800,19257300,10810900,23.95,1.22,0.63,7.35,-15.4,11.16,0.02249061738774151,296.797,3.83,3.5,36.13333333333333,62.032085561497375,36.193333333333335,0
Consumer Discretionary,-0.02494383394048455,0.025936599423631124,0.03101973650207401,0.04991265323763746,2790900,3546100,3396100,3396100,94.61,0.16,12.17,-3.11,16.59,23.17,0.028216148565246863,305.691,5.08,3.5,87.81333333333335,21.893491124260343,87.49416666666667,1
Energy,-0.0376462899469012,-0.04853800619091934,0.0007314756576033166,-0.031300206623148474,3599400,3657500,4614800,3391100,-1.72,0.58,0.36,6.5,-283.94,-69.05,0.024272870668018462,237.805,0.13,5.6,62.99,19.605861546235566,63.017916666666665,1
Consumer Discretionary,0.005361456523439273,0.008198233094263001,-0.001169766814916069,0.020290087166628036,1777600,6007300,1711400,1680000,24.3,1.33,1.21,2.68,8.26,5.47,0.02650655953398916,305.691,5.08,3.5,112.41333333333334,62.7630375114366,112.46416666666667,1
Technology,0.0339405710067764,0.018947136817074536,-0.11961344954680322,-0.016233715520162773,242400,262500,263600,283700,41.47,1.67,1.69,-0.89,20.91,27.27,0.022035684079223707,298.012,3.08,3.7,418.9133333333334,55.061011040092936,415.905,0
Real Estate,0.01126664486728714,0.0024748838861515096,-0.016413539474165732,-0.03371124405793013,961200,526300,514600,874900,204.03,-3.63,1.0,2.83,6.88,32.18,0.040535380403310464,251.588,1.7,3.8,158.32333333333335,89.98211091234307,158.72166666666666,0
Finance,0.00804096181193963,-0.012056111827175815,-0.01114420824792143,0.002313694829294476,1009500,449200,669400,810300,42.81,1.26,1.46,0.14,18.3,14.89,0.019316096102575432,271.696,0.06,5.9,106.21999999999998,63.27236777063791,106.31,1
Consumer Discretionary,0.010352850942229447,-0.0010574038745792386,0.04008289831394827,0.016521664414135356,181400,254600,140600,193000,25.15,1.51,0.66,7.62,7.6,-2.27,0.033196980621292144,236.119,0.11,5.4,84.20666666666666,74.65495608531985,84.84416666666667,0
Industrials,0.015042200152904889,-0.022640265909475966,0.019178928207812723,-0.03303378187635269,2500700,893800,968900,912800,10.02,0.71,2.64,5.09,8.75,21.52,0.024650861848576833,273.567,0.1,5.2,33.556666666666665,57.223796033994375,33.66208333333333,0
Health Care,-0.02909661396291383,0.025359447935795327,-0.0643912202590076,-0.0007605622354723904,1607100,1607100,1553100,1824700,19.19,0.94,0.85,6.65,14.22,26.14,0.014507155955038566,236.916,0.36,4.8,149.79,17.305699481865194,149.07166666666666,1
Energy,0.08145112663972187,-0.05498075912259251,-0.04331680164817717,-0.0012359587211833642,13249700,15762100,13185000,9639800,-6.85,0.41,1.44,-24.21,-121.98,2.05,0.02138537715961454,243.801,0.82,4.4,15.833333333333336,91.68207024029591,15.701666666666668,1
Health Care,0.05416396255918184,0.024042740667706966,0.010933774533581679,-0.02379924249677184,1508600,1062400,860500,1118400,-103.52,0.28,2.5,-9.6,-32.78,-19.37,0.03546378587271707,238.654,0.14,5.2,147.09,87.86201022146518,146.60375,1
Consumer Discretionary,0.08845464689662778,-0.046144703423531636,0.011794266438464146,-0.07690919122184026,624100,744900,716200,901300,61.51,-7.94,1.82,2.86,35.21,49.37,0.023374566849861396,263.014,0.08,6.2,424.06333333333333,82.85358427899253,422.73625000000004,0
Health Care,-0.009867752618756973,0.06800218616429711,0.0872721789026122,-0.0669585197202621,4889300,4956500,4197800,4197800,27.0,0.06,1.13,-13.12,63.85,92.63,0.05093308914950972,273.003,0.1,5.4,229.34333333333333,55.288542900659955,230.4325,1
Health Care,0.03547691066948603,-0.10983699503110833,0.15657455924970298,-0.004877839585092515,46268200,34965900,28823700,26764600,15.26,1.09,2.86,5.37,45.86,40.43,0.03139011034161893,258.115,0.15,4.4,77.07666666666667,41.12989932557914,75.11875,0
Consumer Discretionary,0.012316046358778952,0.04178494740465011,-0.011892713915158356,0.024129593284800226,2011800,1649100,1960800,2088400,46.66,-44.9,0.9,-0.01,5.22,7.2,0.030411101761406895,305.691,5.08,3.5,92.22333333333334,60.655737704917954,92.4575,0
Technology,-0.01723774858282031,-0.163824921687731,0.05743494788861112,0.08796761187072057,102324700,100331800,106416200,86378400,150.81,0.24,1.43,-7.12,7.99,18.81,0.03768481828235803,258.115,1.59,4.4,46.56333333333333,46.262047408179214,46.71958333333333,1
Finance,0.059325317438439745,-0.0007322725226912766,0.06982977913817678,-0.06383948847949608,91700,69500,51500,40100,40.54,0.61,1.15,0.57,14.7,33.73,0.01885635841978084,259.101,0.1,10.2,156.73666666666665,100.0,157.06833333333333,1
Technology,0.0018208575745157199,-0.01837704459403964,-0.01093774484648056,-0.12089948316246509,980500,1502400,797700,2231300,11.37,1.54,0.43,3.9,2.81,-1.39,0.03654804917730339,283.716,0.08,3.8,60.95333333333334,43.268851164626945,60.78625,1
Health Care,-0.015453681843254866,0.0190545862285201,0.013678863752109714,-0.0026530581943604538,1822700,1822700,2400800,1978100,21.16,0.47,1.42,5.95,15.82,10.46,0.014533880552419618,237.805,0.12,5.6,160.87666666666667,3.5203520352034547,160.63,1
Industrials,0.02238200938630998,0.05569633184833819,0.0772730994609853,-0.0066224712070741,4033000,1849800,2121600,3568800,16.56,1.16,1.48,1.37,27.76,53.11,0.02919147711881594,283.716,0.08,3.8,74.51333333333334,75.40766857646534,75.13791666666665,0
Health Care,0.04323629198429235,-0.009496735183872252,0.028120695931974738,0.0088030024840784,526800,571900,1033000,933500,76.38,0.4,3.28,0.67,7.42,31.75,0.03733658679894878,259.918,0.1,8.4,397.91666666666674,76.7311200291864,397.51,0
Technology,-0.01248971161761645,0.06195484304261354,-0.07203035083723702,0.017390549232174767,85553200,85553200,171212800,129930000,12.25,0.54,0.89,6.55,21.6,19.06,0.02980077202389372,237.336,0.12,5.1,29.56,29.274611398963728,29.518333333333334,1
Consumer Discretionary,-0.018258341082270493,0.01136357146571451,7.514496214647677e-08,0.032257994453817364,15998200,13915700,16151900,17354600,36.94,-4.7,0.11,3.7,20.46,33.94,0.0543853145007968,252.006,1.91,3.8,7.090000000000001,29.629629629629626,7.050000000000001,1
Health Care,-0.06767240873530514,-0.04610874760135651,0.024917625922153738,-0.021029019507846844,2021100,1935600,947600,538100,22.97,-6.1,1.45,4.05,7.81,18.12,0.01373236883292593,237.838,0.07,5.0,65.03666666666668,10.063620589936429,64.90666666666667,1
Utilities,-0.02580540530517146,0.019529126834569893,-0.08630391273392275,-0.034554950562213214,3595400,2387200,2125600,2125600,36.47,1.24,0.3,5.02,-16.93,-8.42,0.016588419913973973,247.867,1.42,4.0,62.76333333333333,0.5263157894735808,62.70166666666667,1
Telecommunications,0.014280374460492587,0.0413658046920307,-0.032836442007023035,0.03133520346847955,407600,409000,324900,346500,19.76,2.17,0.53,3.4,10.33,7.99,0.021480549379131148,287.504,0.08,3.6,53.56333333333333,63.12443233424167,53.633750000000006,1
Basic Materials,-0.10544614821473083,-0.025739451691126996,-0.01577762344238703,-0.018752549662755892,5955100,7098800,8047900,11354500,518.86,0.49,2.54,-5.84,1.38,29.6,0.025717340113145283,240.849,0.4,4.9,38.84470000000001,16.94035710627838,38.68575416666667,0
Health Care,-0.016366484223488246,-0.02589423398070002,0.05816974184557361,-0.0002651978305409332,542700,553000,477000,594800,44.38,3.23,0.45,2.07,15.34,4.16,0.02529830555870457,296.171,2.33,3.7,389.84,27.002367615637795,387.785,0
Energy,0.06574112262245,0.046134273377287434,0.04555621838389936,0.1493837934273853,15290300,17449600,7297100,9252700,48.37,1.81,1.56,-0.56,6.11,14.4,0.02527465681751042,276.589,0.08,4.5,26.04000000000001,100.0,25.877916666666668,1
Utilities,0.017024371255079464,0.0038553282322025674,-0.007397791322354486,0.01659769739561696,1588800,1420900,1325300,2303000,22.22,2.47,0.17,1.73,13.86,-17.74,0.012968412105081106,245.519,1.16,4.4,79.21333333333332,100.0,79.21583333333334,1
Utilities,0.011086280430562421,0.005349669124041604,0.011271761174648377,-0.03144093822648293,2193300,3836000,2204400,1784400,-56.21,2.62,0.81,3.7,9.48,1.54,0.01766096323741095,241.729,0.31,4.9,22.633333333333336,81.97183098591549,22.68208333333333,0
Health Care,-0.019601716637540133,0.08215483380571786,-0.041316939903494804,-0.004498756208919147,360800,484600,326500,556600,-40.42,2.57,3.36,-2.49,-25.49,0.88,0.03743809176122245,238.654,0.14,5.2,31.483333333333334,13.207547169811928,31.535000000000004,1
Health Care,-0.006029089932336974,0.018989087398400047,0.031245323526601292,-0.0017726698739643579,700300,688800,578600,360700,61.58,0.58,1.12,0.27,-2.25,4.26,0.025075237716989895,273.567,0.1,5.2,216.30666666666664,55.444096133751394,216.72125,0
Consumer Discretionary,0.003215642098030828,-0.0022724801435543927,0.04090724260250178,0.032614973878281155,966800,586000,470100,534700,19.94,2.93,1.66,1.41,7.05,7.49,0.01731465026401019,256.389,0.04,14.7,76.05,36.40399556048827,75.53375,0
